id,account,reward_steem,reward_sbd,reward_vests,timestamp
NULL,arorapuneet,0,0,22069271,2019-02-03 12:03:30
NULL,woolfe19861008,0,0,4012587,2019-02-03 12:03:30
NULL,jpederson96,0,0,2006318,2019-02-03 12:03:30
NULL,planetenamek,0,0,4012607,2019-02-03 12:03:30
NULL,dongfengman,0,0,20062939,2019-02-03 12:03:30
NULL,shebe,0,0,56175654,2019-02-03 12:03:30
NULL,love-peace,0,0,4012596,2019-02-03 12:03:30
NULL,flatman,0,0,6018884,2019-02-03 12:03:30
NULL,safran,0,0,38119691,2019-02-03 12:03:45
NULL,demotruk,0,0,916877195,2019-02-03 12:03:45
NULL,shihabieee,0,0,22069251,2019-02-03 12:03:45
NULL,saadmehmood,0,0,14044185,2019-02-03 12:03:45
NULL,sweet-jenny8,0,0,20062939,2019-02-03 12:03:45
NULL,ayobami99,0,0,46145202,2019-02-03 12:03:45
NULL,linuslee0216,0,0,2006322,2019-02-03 12:03:45
NULL,lilypang22,0,0,2006293,2019-02-03 12:03:45
NULL,antonireviews,24,0,108340371,2019-02-03 12:03:45
NULL,spooks,0,0,50157636,2019-02-03 12:03:45
NULL,anxin,0,0,2006293,2019-02-03 12:03:45
NULL,shikika,0,0,760387365,2019-02-03 12:03:45
NULL,fanso,0,0,2006293,2019-02-03 12:03:45
NULL,my-art,0,0,4012595,2019-02-03 12:03:45
NULL,ernick,0,0,26082051,2019-02-03 12:03:45
NULL,oendertuerk,0,0,308964756,2019-02-03 12:03:45
NULL,ethanlee,0,0,2006293,2019-02-03 12:03:45
NULL,jrhughes,0,0,12037791,2019-02-03 12:03:45
NULL,simba,0,0,834636765,2019-02-03 12:03:45
NULL,ebargains,0,0,2006204,2019-02-03 12:03:45
NULL,sketch17,0,0,2006294,2019-02-03 12:03:45
NULL,konti,0,0,54170416,2019-02-03 12:03:45
NULL,laiyuehta,0,0,4012587,2019-02-03 12:03:45
NULL,thewealthunit,0,0,18056677,2019-02-03 12:03:45
NULL,davedickeyyall,0,0,319008662,2019-02-03 12:03:45
NULL,shae-meyer,0,0,56176455,2019-02-03 12:03:45
NULL,sanjeevm,0,0,114359803,2019-02-03 12:03:45
NULL,coffeedrinker51,0,0,26081883,2019-02-03 12:03:45
NULL,phogyan,0,0,10031373,2019-02-03 12:03:45
NULL,inspiring,0,0,10031483,2019-02-03 12:03:45
NULL,germanaure,0,0,2006311,2019-02-03 12:03:45
NULL,dabeckster,0,0,18056681,2019-02-03 12:03:45
NULL,heathergirl,0,0,8025221,2019-02-03 12:03:45
NULL,investegg,0,0,1346236127,2019-02-03 12:03:45
NULL,carlagonz,0,0,2006306,2019-02-03 12:03:45
NULL,june0620,414,1,1031239234,2019-02-03 12:03:45
NULL,dong262514,0,0,523647475,2019-02-03 12:03:45
NULL,ohamdache,0,0,36113373,2019-02-03 12:03:45
NULL,coar,0,0,2006300,2019-02-03 12:03:45
NULL,rvgenaille,138,0,351104557,2019-02-03 12:03:45
NULL,aftabkhan10,0,0,46144867,2019-02-03 12:03:45
NULL,ctime,0,0,12037762,2019-02-03 12:03:45
NULL,madushanka,468,0,1801657425,2019-02-03 12:03:45
NULL,beautifulbullies,2721,8,5669807702,2019-02-03 12:03:45
NULL,digital.mine,969,0,6649358245,2019-02-03 12:03:45
NULL,alexanderfluke,0,0,44138468,2019-02-03 12:03:45
NULL,vladimgor,0,0,14044207,2019-02-03 12:03:45
NULL,tatyanamishenko,0,0,2006299,2019-02-03 12:03:45
NULL,mahyailyas,0,0,2006297,2019-02-03 12:03:45
NULL,resiliencia,0,0,26081820,2019-02-03 12:03:45
NULL,siberianshamen,0,0,10031519,2019-02-03 12:03:45
NULL,steemit-turkey,0,0,6018918,2019-02-03 12:03:45
NULL,nadin3,0,0,190603304,2019-02-03 12:03:45
NULL,anforo,0,0,415304647,2019-02-03 12:03:45
NULL,htliao,148,0,417309203,2019-02-03 12:03:45
NULL,jmcgready,0,0,6018884,2019-02-03 12:03:45
NULL,abdt,0,0,4012637,2019-02-03 12:03:45
NULL,detlef-s,0,0,34107112,2019-02-03 12:03:45
NULL,jodipamungkas,1097,3,2325401184,2019-02-03 12:03:45
NULL,investingpennies,0,0,12037763,2019-02-03 12:03:45
NULL,ctime,0,0,2006293,2019-02-03 12:03:45
NULL,masummim50,0,0,120378150,2019-02-03 12:03:45
NULL,malekalmsaddi,0,0,1304105870,2019-02-03 12:03:45
NULL,prasanna,0,0,30094408,2019-02-03 12:03:45
NULL,mikepm74,0,0,52164117,2019-02-03 12:03:45
NULL,teamhumble,9061,4,19601580218,2019-02-03 12:03:45
NULL,biggordo,0,0,2006297,2019-02-03 12:03:45
NULL,jonnyrevolution,0,0,14044256,2019-02-03 12:03:45
NULL,kamikaze,0,0,704214574,2019-02-03 12:03:45
NULL,jahangirbalti,0,0,24075797,2019-02-03 12:03:45
NULL,musismail,184,0,487530948,2019-02-03 12:03:45
