id,sender,receiver,amount,precision,nai,timestamp
NULL,nageshwar0369,magicdice,45000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kabil,251,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,luegenbaron,5158,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,67846,3,@@000000021,2019-02-03 12:03:42
NULL,kgakakillerg,magicdice,400,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,crypto-n-custard,onepercentbetter,1,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,kgakakillerg,784,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,drisers,sarkash7011,1000,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,binance-hot,poloniex,3317990,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,kgakakillerg,magicdice,500,3,@@000000013,2019-02-03 12:03:42
NULL,tipu,arwine,6,3,@@000000013,2019-02-03 12:03:42
NULL,monsterstamer,peakcredit,4500,3,@@000000021,2019-02-03 12:03:42
