id,voter,author,permlink,weight,value,timestamp
NULL,marinadelic,zorank,re-alinak15-happy-february-20190201t095452396z,10000,0,2019-02-03 11:15:39
NULL,sayedahmed,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,resteempro,bidesign,winter-bride-collage-let-s-make-a-collage-contest-6-by-shaka,10000,0,2019-02-03 11:15:39
NULL,stewart.amarian,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,karawadjo,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,haogee,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,gameranger,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,downcast,indicator,2019-02-03-updown-upbit-midreport,10000,0,2019-02-03 11:15:39
NULL,sirlahmjr,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,emma-olson,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,naeem262411,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,danixmarie,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,ael7,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,zefy,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,iamanosikev,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,blckmrktrgns,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,alim-uddin,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,messi1,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,spikeyeezy,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,fahim-ahmed,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,tonalddrump,gregorypatrick,tom-delonge-from-blink-182-and-his-connection-to-john-podesta-how-his-full-book-sekret-machines-was-leaked-and-is-now-free-to,1100,0,2019-02-03 11:15:39
NULL,kenyan.ladyy,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,hamismsf,gregorypatrick,tom-delonge-from-blink-182-and-his-connection-to-john-podesta-how-his-full-book-sekret-machines-was-leaked-and-is-now-free-to,300,0,2019-02-03 11:15:39
NULL,ezraswish,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,skycae,ferrate,changing-our-style-of-prayer-8d9abe713b7e7,212,0,2019-02-03 11:15:39
NULL,vicrivasr,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,bukiland,odigetti,what-an-amazing-night,100,0,2019-02-03 11:15:39
NULL,kibela,upvoteinvest,btc-usd-general-technical-analysis-on-the-movement-of-bitcoin-prices-for-february-2019,8000,0,2019-02-03 11:15:39
